Label,StopwordRemovedSentence
negative,head still dull heavy effects extraordinary dream cannot yet banish mind
neutral,professor dreamed however one morose unaccountable humors
neutral,spends time scanning horizon every point compass
negative,telescope raised every moment eyes finds nothing give clue whereabouts assumes napoleonic attitude walks anxiously
negative,remarked uncle professor strong tendency resume old impatient character could make note disagreeable circumstance journal
neutral,saw clearly required influence danger suffering extract one scintillation humane feeling
positive,quite recovered original nature conquered obtained upper hand
negative,angry annoyed time
positive,journey accomplished favorable circumstances
positive,raft progressing marvelous rapidity
positive,could matter
positive,one two preliminary hems determined inquire
negative,seem uneasy uncle said hundredth time put telescope walked muttering
negative,uneasy replied dry harsh tone means
negative,perhaps said impatient replied softening force remark
neutral,enough make think
neutral,yet advancing rate seldom attained raft remarked
positive,matters
negative,cried uncle
negative,vexed rate go annoyed find sea much vaster expected
neutral,recollected professor departure estimated length subterranean ocean thirty leagues
neutral,traveled least thrice distance without discovering trace distant shore
negative,began understand uncle anger
neutral,going suddenly exclaimed professor
positive,progressing great discoveries
negative,utter loss time
positive,come home undertake party pleasure
negative,voyage raft pond annoys wearies
positive,called adventurous journey party pleasure great inland sea pond
positive,argued followed route indicated great saknussemm cannot going far wrong
positive,question great immortal shakespeare
neutral,following route indicated wondrous sage
positive,saknussemm ever fall great sheet water
neutral,cross
negative,begin fear rivulet adopted guide led us wrong
positive,case never regret come thus far
positive,worth whole journey enjoyed magnificent spectacle something seen
positive,care nothing seeing magnificent spectacles
neutral,came interior earth object object mean attain
positive,talk admiring scenery sentimental trash
positive,thought well hold tongue allow professor bite lips blood came without remark
positive,six clock evening matter fact guide hans asked week salary receiving three rix dollars put carefully pocket
positive,perfectly contented satisfied
neutral,sunday august 16th
neutral,nothing new record
neutral,weather
neutral,wind slight tendency freshen signs approaching gale
neutral,awoke first observation regard intensity light
negative,keep fearing day day extraordinary electric phenomenon become first obscured go wholly leaving us total darkness
positive,nothing however kind occurs
positive,shadow raft mast sails clearly distinguished surface water
neutral,wondrous sea infinite extent
positive,must quite wide mediterranean perhaps even great atlantic ocean
